id,team,season,games_played,wins,losses,ties,ots,points,regular_ot_wins,point_percent,goals_for,goals_allowed,shootout_win,goals_for_per_game,goals_allowed_per_game,pp_percent,pk_percent,shots_per_game,shots_allowed_per_game,faceoff_win_percent
72,Colorado Avalanche,2016-17,82,22,56,0,4,48,21,0.293,165,276,1,2.01,3.37,12.6,76.6,28.1,31.7,53.6
73,Edmonton Oilers,2016-17,82,47,26,0,9,103,43,0.628,243,207,4,2.96,2.52,22.9,80.7,31.1,29.5,47
74,Buffalo Sabres,2016-17,82,33,37,0,12,78,31,0.476,199,231,2,2.43,2.82,24.5,77.6,30.4,34.3,49.6
75,San Jose Sharks,2016-17,82,46,29,0,7,99,44,0.604,219,200,2,2.67,2.44,16.7,80.7,29.9,27.7,48.1
76,Minnesota Wild,2016-17,82,49,25,0,8,106,46,0.646,263,206,3,3.21,2.51,21,82.9,30.8,30.1,51.9
77,Dallas Stars,2016-17,82,34,37,0,11,79,33,0.482,222,260,1,2.71,3.17,17.9,73.9,30.5,29.7,49.9
78,Tampa Bay Lightning,2016-17,82,42,30,0,10,94,38,0.573,230,224,4,2.8,2.73,22.8,81.4,29.9,30.4,47.7
79,Vancouver Canucks,2016-17,82,30,43,0,9,69,26,0.421,178,241,4,2.17,2.94,14.1,76.7,27.7,31.8,51.1
80,Montréal Canadiens,2016-17,82,47,26,0,9,103,44,0.628,223,198,3,2.72,2.41,19.7,81.1,30,29.6,50.3
81,St. Louis Blues,2016-17,82,46,29,0,7,99,44,0.604,233,216,2,2.84,2.63,21.3,84.8,28.4,28.4,50.3
82,Washington Capitals,2016-17,82,55,19,0,8,118,53,0.72,261,177,2,3.18,2.16,23.1,83.8,30.4,27.8,49.8
83,Calgary Flames,2016-17,82,45,33,0,4,94,41,0.573,222,219,4,2.71,2.67,20.2,81.6,29.1,28.7,48.9
84,New York Rangers,2016-17,82,48,28,0,6,102,45,0.622,253,216,3,3.09,2.63,20.2,79.8,29.7,30.1,48.4
85,Winnipeg Jets,2016-17,82,40,35,0,7,87,37,0.53,246,255,3,3,3.11,18.2,77.5,29.9,31,48.5
86,Columbus Blue Jackets,2016-17,82,50,24,0,8,108,48,0.659,247,193,2,3.01,2.35,19.9,82.5,31,30.4,48.6
87,New Jersey Devils,2016-17,82,28,40,0,14,70,25,0.427,180,241,3,2.2,2.94,17.5,79.6,27.8,31.4,49.2
88,Boston Bruins,2016-17,82,44,31,0,7,95,42,0.579,232,209,2,2.83,2.55,21.7,85.7,33.2,26.8,53.2
89,Toronto Maple Leafs,2016-17,82,40,27,0,15,95,39,0.579,250,234,1,3.05,2.85,23.8,82.5,31.9,32.6,49.9
90,Ottawa Senators,2016-17,82,44,28,0,10,98,38,0.598,206,210,6,2.51,2.56,17,79.7,30,30.1,51
91,Arizona Coyotes,2016-17,82,30,42,0,10,70,24,0.427,191,258,6,2.33,3.15,16.2,77.3,27.8,34.1,48
92,Chicago Blackhawks,2016-17,82,50,23,0,9,109,46,0.665,240,212,4,2.93,2.59,18,77.7,30.6,31.4,47.5
